"Subject" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"1" 1 "LAYING" 0.270128826 -0.0117332452336 -0.10791765988 -0.67332423744 -0.66047617429 -0.72448520552 0.73389992464 0.06550542184 0.15812164884 -0.9560326752 -0.9612483396 -0.948294091 0.106507791734 -0.0170168838133 -0.0244598591132 -0.68823153308 -0.707157833 -0.8273609848 -0.006133584954 -0.100225767578 0.108029108836 -0.78050242168 -0.73857892028 -0.7291682266 -0.06923658303 -0.0210463377 -0.036455287358 -0.795998726 -0.8592478938 -0.7941423944 -0.653917731192 -0.671591482734 -0.653917731192 -0.671591482734 -0.71899827066 -0.701615263296 -0.6782954638 -0.7374122098 -0.8286173426 -0.8556065736 -0.67287632008 -0.665421385244 -0.75792877014 -0.67453228478 -0.68006721472 -0.7296865038 -0.69774679015 -0.7177492388774 -0.8119682086 -0.70660604076 -0.7167578029 -0.8413805414 -0.73430073532 -0.78096099018 -0.71542204614 -0.7965833276 -0.7200688056 -0.7591343744 -0.663954512176 -0.7279939522 -0.6945556134 -0.712635347468 -0.77406991222 -0.759547186 -0.8534532658 -0.868873263
"2" 1 "SITTING" 0.286685821276596 -0.0168202244519149 -0.110558772914894 -0.768247972446809 -0.676967042900638 -0.705903284340425 0.694180404468085 0.0957600455957447 0.203329296389362 -0.984597452978723 -0.978019924468085 -0.971772101702128 0.0853424677744681 0.00546453734255319 -0.0250678996447021 -0.785157410042553 -0.735807921212766 -0.799061025978723 -0.0539849878595745 -0.0565403577659574 0.0633269575170213 -0.792669384893617 -0.73233303993617 -0.764144508008511 -0.098502381212766 -0.0282014108361702 -0.0577870721212766 -0.813930624680851 -0.783154995468085 -0.83065737106383 -0.712729723723404 -0.752144081531915 -0.712729723723404 -0.752144081531915 -0.760624027170213 -0.757247517510638 -0.707014947787234 -0.719283953021277 -0.796508310680851 -0.780041320851064 -0.777408533923404 -0.691481522680851 -0.737265265468085 -0.765180481893617 -0.690462571106383 -0.712101490978723 -0.794395294808511 -0.748564316470213 -0.796209983446808 -0.79508850612766 -0.740108295574468 -0.801329888702128 -0.765598908510638 -0.754065260185106 -0.761818533191489 -0.802635421276596 -0.722883765319149 -0.786867225106383 -0.740573641787234 -0.798140638723404 -0.749111647446808 -0.76867066912766 -0.735072143144681 -0.759468955 -0.790992039255319 -0.781592665523404
"3" 1 "STANDING" 0.276512189811321 -0.0185877623983019 -0.108125300245283 -0.963651434150943 -0.909199942830189 -0.918069564528302 0.955492847924528 -0.131011650479245 -0.0148443987169811 -0.993951594339623 -0.976126149622642 -0.962495492641509 0.0735140670188679 0.0081296249654717 0.00348642066754717 -0.960022819245283 -0.943927908867925 -0.970869055660377 -0.0343159945339623 -0.0669647980679245 0.0907695429811321 -0.918893466981132 -0.951677163018868 -0.938438384528302 -0.0994789834528302 -0.0403385139679245 -0.0527295504339623 -0.945070150943396 -0.977803639056604 -0.967204389056604 -0.933731601132075 -0.926084861886792 -0.933731601132075 -0.926084861886792 -0.960004374339623 -0.950004263207547 -0.918251760566038 -0.912904038301887 -0.968830039622641 -0.96660874490566 -0.964193436792453 -0.919626119433962 -0.942457628867925 -0.963819772641509 -0.909072536037736 -0.911848038867925 -0.961693211886792 -0.944338384339623 -0.966547634716981 -0.961887902641509 -0.947596684150943 -0.973884958679245 -0.914267916037736 -0.959375447169811 -0.944493340188679 -0.921565700754717 -0.947815606415094 -0.942293572264151 -0.936140267358491 -0.931731433018868 -0.951096500377358 -0.94789691509434 -0.935788099622642 -0.91433713 -0.969316102075472 -0.965424485849057
"4" 1 "WALKING" 0.269320071578947 -0.0181226929965263 -0.105334591210526 -0.57932973824 -0.448558743868421 -0.615574632430526 0.840803259357895 -0.0543206788021053 0.0331137812926316 -0.971779362 -0.958747734526316 -0.929332311368421 0.0864411179536842 0.0476541009671579 0.0223735937329474 -0.578061601162105 -0.527577098857895 -0.776433185894737 -0.0436883774063158 -0.0707795395157895 0.0704878209063158 -0.713224309052632 -0.655473360568421 -0.637737311863158 -0.0887302884 -0.0586261775414737 -0.0562374604168421 -0.680890009789474 -0.753122887168421 -0.663520556057895 -0.519917189830526 -0.540674536157895 -0.519917189830526 -0.540674536157895 -0.606862928136842 -0.562390404315158 -0.592238719042105 -0.618680084073684 -0.719859140526316 -0.732133833831579 -0.582075333515789 -0.478086209517895 -0.677603160736842 -0.580315451061684 -0.468770697396842 -0.615274535673684 -0.600371199253789 -0.561958369735789 -0.758208885157895 -0.592891172463158 -0.5219192479 -0.793407123368421 -0.648974360052632 -0.669147839771579 -0.586287581416526 -0.735101554631579 -0.651968974084211 -0.690621927894737 -0.534159292010526 -0.617826560726316 -0.555650854278526 -0.574256513929474 -0.648822234968421 -0.667079832789474 -0.736463906673684 -0.745899298536842
"5" 1 "WALKING_DOWNSTAIRS" 0.274783152653061 -0.013927447582102 -0.109646791244898 -0.523885540355102 -0.426485429791837 -0.570278529573469 0.669057833469388 -0.0580730126938776 0.0890163857877551 -0.970901405510204 -0.950391967142857 -0.945788980816327 0.0523894024469388 0.0648175927959184 -0.00259782316693878 -0.554777305326531 -0.540160995055102 -0.727106777346939 -0.0219129341455102 -0.0834931184693878 0.0814864135 -0.676750358612245 -0.691846464081633 -0.567773109714286 -0.137904398014286 -0.0454117458816327 -0.0434539647142857 -0.682617016591837 -0.79226520755102 -0.713827610816327 -0.461649029955102 -0.558100075897959 -0.461649029955102 -0.558100075897959 -0.573370184571429 -0.572641633020408 -0.560442721081633 -0.656753677102041 -0.743544300530612 -0.77658795244898 -0.550831875616327 -0.467427040183673 -0.622011782516326 -0.514759565285714 -0.442927428361225 -0.577447227081633 -0.577163700757143 -0.565128053061224 -0.704823907714286 -0.573499371183673 -0.544932200367347 -0.747815171632653 -0.61446613777551 -0.706240103857143 -0.574864963328571 -0.69864333955102 -0.686174358163265 -0.606207510979592 -0.539889784408163 -0.63946650922449 -0.570294696693878 -0.580838745816327 -0.689473281469388 -0.696450050816326 -0.783035406734694 -0.785535943469388
"6" 1 "WALKING_UPSTAIRS" 0.270498114528302 -0.0167688493950943 -0.103077995773585 -0.787831409867925 -0.691299560566038 -0.719361322226415 0.364278071132075 0.0270304547924528 0.399439968686792 -0.976097292075472 -0.97510695490566 -0.975743246603774 0.0775657273584906 -0.00172463592773585 -0.00236959455764151 -0.795274686415094 -0.737755330188679 -0.796162684075472 -0.0252547599554717 -0.0834556823603774 0.0753549692264151 -0.859470875471698 -0.832389655 -0.760131864490566 -0.0969169652641509 -0.0404555245132075 -0.0609214220962264 -0.859469308679245 -0.872437845566792 -0.839305877169811 -0.726834903773585 -0.789007153886792 -0.726834903773585 -0.789007153886792 -0.760474959146792 -0.781251696415094 -0.780020477079245 -0.838933714679245 -0.861494559245283 -0.878859910622641 -0.797534302226415 -0.704980291886792 -0.747844042886792 -0.784864780418868 -0.704443489698113 -0.725461656698113 -0.810953347924528 -0.75667388690566 -0.788859597566038 -0.797361573188679 -0.735571196018868 -0.802038600471698 -0.83616911245283 -0.828963732113208 -0.775192913320755 -0.867633254339623 -0.836324166573585 -0.777870924811321 -0.772720926773585 -0.832070899056604 -0.767936279396226 -0.800743297188679 -0.845290015660377 -0.863948639245283 -0.876591562037736 -0.89066135490566
"7" 2 "LAYING" 0.268002720979167 -0.0249560331485417 -0.109551529541667 -0.258663459375 0.0253426781041667 -0.367375727875 0.839273727708333 -0.208587348604167 0.033757620405625 -0.959162003541667 -0.94265107125 -0.9392739875 0.0790583956208333 0.00776277597708333 0.00383621155208333 -0.31016719554375 -0.202245311308333 -0.535394867083333 -0.166970282729167 0.0197001407395833 0.0733503405479167 -0.437837687145833 -0.40868152671875 -0.340115532875 -0.065871286425 -0.0753697674458333 -0.0562298970916667 -0.489564698354167 -0.543915876395833 -0.433950443875 -0.155379954395833 -0.2490781325 -0.155379954395833 -0.2490781325 -0.314667197016667 -0.266121462075 -0.249899733208333 -0.345599222954167 -0.522738189375 -0.511247343129167 -0.279637350145833 -0.0409659629375 -0.402216460425 -0.252816416875 -0.00742115762291666 -0.402006081916667 -0.340369518522917 -0.249656632095833 -0.493327143391667 -0.340716393002354 -0.204272034941667 -0.576834246041667 -0.3577018191375 -0.424683597216042 -0.278205208145833 -0.466910176625 -0.408758394797917 -0.4240170034375 -0.215271754979167 -0.388360413375 -0.25912178483125 -0.2821189648125 -0.395364794791667 -0.428421724604167 -0.525595098967083 -0.528323893658333
"8" 2 "SITTING" 0.273719003347826 -0.0179210230021739 -0.107106185652174 -0.715573550217391 -0.564163781154348 -0.687189119043478 0.642082371304348 0.00473081263043478 0.263173099980435 -0.971468752391304 -0.972126559565217 -0.96950998826087 0.0821548762608696 0.0228017974369565 -0.0127176998426087 -0.749487174347826 -0.686210507173913 -0.794259082391304 -0.0200523821369565 -0.0831231027826087 0.102436730847826 -0.730500115217391 -0.786117456086956 -0.703460174 -0.125931549076087 -0.0285078632782609 -0.0841182027717391 -0.753267777826087 -0.859208651521739 -0.799951962826087 -0.644790143086956 -0.710699480434783 -0.644790143086956 -0.710699480434783 -0.728104945434783 -0.732961114347826 -0.682288266304348 -0.752330303478261 -0.814730226086957 -0.847958435217391 -0.733839131304348 -0.609482056565217 -0.727541401956522 -0.709652430565217 -0.5695211434 -0.690074848413043 -0.761855642391304 -0.70294451673913 -0.784244544782609 -0.759038313478261 -0.689623175 -0.803250676086957 -0.706247804782609 -0.805771627608696 -0.705789529565217 -0.740348791304348 -0.777523237391304 -0.730243428695652 -0.717664798695652 -0.751548623043478 -0.737440962826087 -0.729184758478261 -0.774195175869565 -0.780668540652174 -0.851790111086957 -0.854136300434783
"9" 2 "STANDING" 0.27971917537037 -0.0185482618018519 -0.110695037574074 -0.783574986666667 -0.734762533612963 -0.766494884407407 0.0929525087037037 0.402083733148148 0.392464425611111 -0.974337517962963 -0.985008947962963 -0.968464832407407 0.0835261215 0.0105004582792593 -0.00358529393962963 -0.798677618148148 -0.757645151259259 -0.851085608703704 -0.00792517974444444 -0.104089505277778 0.111406895481481 -0.843660038333333 -0.7421798171 -0.809472468518519 -0.115355907535185 -0.0316679540962963 -0.0717285052777778 -0.824249743888889 -0.869496189444444 -0.860725243888889 -0.749568582407407 -0.786099204814815 -0.749568582407407 -0.786099204814815 -0.799242838888889 -0.775208005611111 -0.745774602624074 -0.782150324259259 -0.854075688703704 -0.875556257407407 -0.77737421687037 -0.734183806627778 -0.792691067407407 -0.786355838703704 -0.752007079259259 -0.77087547337037 -0.799984892962963 -0.762646593614815 -0.831880384259259 -0.816048175925926 -0.769859703333333 -0.869726446481481 -0.813003873703704 -0.789847571481481 -0.802397395 -0.854480327962963 -0.718828518833333 -0.829473046851852 -0.785495524444444 -0.819350052222222 -0.771161927648148 -0.780761940907407 -0.808168197777778 -0.802288733518518 -0.879970187592593 -0.878538777407407
"10" 2 "WALKING" 0.264913993050847 -0.00824063982762712 -0.0987736462372881 -0.683703024423729 -0.527639741569492 -0.652303962508475 0.898773866101695 -0.0987545927864407 0.0478187699355932 -0.964222160169491 -0.913245019508475 -0.922312736101695 0.0704266650050848 -0.000936048730508473 -0.0174954049474576 -0.698167837590678 -0.643934142286441 -0.811639943644068 -0.0314023272237288 -0.0782033839559322 0.0879286276237288 -0.743350891813559 -0.714752467542373 -0.71710020779661 -0.0788330862423729 -0.0677847899745763 -0.0348719744610169 -0.746531056542373 -0.813439454271186 -0.760098404508475 -0.602388014788136 -0.617109617305085 -0.602388014788136 -0.617109617305085 -0.704923656881356 -0.677616515101695 -0.662101472186441 -0.665115188947458 -0.789604429491525 -0.793742105423729 -0.681615443898305 -0.566187091288136 -0.716430732067797 -0.685488466610169 -0.539288942328814 -0.648293969779661 -0.707660944661017 -0.671093298412559 -0.795984421440678 -0.716423502881356 -0.639047332183051 -0.826003139830508 -0.703922515101695 -0.736383058389831 -0.686348855932203 -0.757634591101695 -0.70610166838983 -0.754824303898305 -0.621515081677966 -0.676181966677966 -0.67056741240678 -0.689913270813559 -0.703944233708475 -0.699246599508475 -0.795925047813559 -0.806626556949153
